File Name,cleanedMol,classLabel,
NS-9283.mol,N#Cc1cccc(-c2nc(-c3cccnc3)no2)c1,1,
NS-206.mol,O=Nc1c(O)[nH]c2c3c(c(S(=O)(=O)NOCc4ccccc4)cc12)CCCC3,1,
HEPES.mol,O=S(=O)(O)CCN1CCN(CCO)CC1,1,
Compound9.mol,CN(Cc1cc(-c2ccccc2Cl)no1)C(=O)C1CCNCC1,1,
CMPI.mol,Cc1c(-c2cc(-c3ccccc3Cl)no2)cnn1C1CCNCC1,1,
1.mol,CN(Cc1cc(-c2ccccc2Cl)no1)C(=O)C1CCNCC1,1,
2a.mol,Clc1ccccc1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,
2b.mol,Cc1c(-c2cc(-c3ccccc3Cl)no2)cnn1C1CCNCC1,1,
2c.mol,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,1,
2d.mol,Cc1c(-c2cc(-c3ccccc3)no2)cnn1C1CCNCC1,1,
2e.mol,Fc1cccc(Cl)c1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,
2f.mol,Cc1c(-c2cc(-c3c(F)cccc3Cl)no2)cnn1C1CCNCC1,1,
2g.mol,Fc1ccc(Cl)c(-c2cc(-c3cnn(C4CCNCC4)c3)on2)c1,1,
2h.mol,Fc1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)c(Cl)c1,1,
2i.mol,Fc1cccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)c1Cl,1,33
2j.mol,Clc1cnccc1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,41
2k.mol,Clc1sccc1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,
2l.mol,Clc1cccc(Cl)c1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,
2o.mol,Cc1cc(-c2cnn(C3CCNCC3)c2)on1,1,
2p.mol,c1nn(C2CCNCC2)cc1-c1cc(C2CCCCC2)no1,1,
12a.mol,Clc1ccccc1-c1cc(-c2cnc(C3CCNCC3)s2)on1,1,
12b.mol,Cn1c(-c2cc(-c3c(F)cccc3Cl)no2)cnc1C1CCNCC1,1,
12c.mol,CCn1c(-c2cc(-c3c(F)cccc3Cl)no2)cnc1C1CCNCC1,1,
