molecule_id,solubility_logS_esol_proxy,solubility_class,caco_permeability_proxy,plasma_protein_binding_proxy,lipophilicity_logP,metabolic_stability_proxy,oral_absorption_proxy,evidence_level,note
REV-DE_NOVO-0,-4.469,MODERATE,HIGH,MODERATE,3.83,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-1,-5.145,MODERATE,MODERATE,HIGH,4.02,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-2,-1.554,HIGH,HIGH,LOW,1.35,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-3,-1.679,HIGH,HIGH,LOW,0.84,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-4,-5.149,MODERATE,HIGH,HIGH,4.51,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-5,-1.215,HIGH,HIGH,LOW,0.32,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-6,-3.524,HIGH,HIGH,MODERATE,3.93,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-7,-2.809,HIGH,HIGH,LOW,1.96,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-8,-6.18,LOW,HIGH,HIGH,6.23,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-9,-2.828,HIGH,HIGH,LOW,2.31,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-10,-3.462,HIGH,HIGH,MODERATE,2.96,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-11,-1.666,HIGH,MODERATE,LOW,-0.22,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-12,-3.502,HIGH,HIGH,MODERATE,2.57,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-13,-4.484,MODERATE,HIGH,HIGH,4.27,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-14,-5.516,MODERATE,MODERATE,HIGH,4.32,LOW,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-15,-6.459,LOW,HIGH,HIGH,5.6,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-16,-3.618,HIGH,HIGH,LOW,2.45,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-17,-3.865,HIGH,HIGH,MODERATE,3.44,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-18,-2.943,HIGH,HIGH,LOW,2.19,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-19,-4.93,MODERATE,HIGH,MODERATE,3.4,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-20,-2.548,HIGH,HIGH,LOW,2.4,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-21,-3.455,HIGH,HIGH,MODERATE,2.77,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-22,-3.426,HIGH,HIGH,MODERATE,3.08,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-23,-4.604,MODERATE,HIGH,MODERATE,3.5,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-24,-5.218,MODERATE,HIGH,HIGH,4.45,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-25,-3.555,HIGH,HIGH,MODERATE,2.58,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-26,-5.411,MODERATE,HIGH,HIGH,5.19,MODERATE,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-27,-3.174,HIGH,HIGH,LOW,2.0,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-28,-4.094,MODERATE,HIGH,MODERATE,3.52,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-29,-5.417,MODERATE,HIGH,HIGH,5.35,MODERATE,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-30,-2.963,HIGH,HIGH,LOW,2.31,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-31,-4.36,MODERATE,HIGH,MODERATE,2.99,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-32,-1.971,HIGH,HIGH,LOW,1.26,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-33,-4.852,MODERATE,HIGH,HIGH,4.24,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-34,-1.585,HIGH,HIGH,LOW,0.04,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-35,-3.939,HIGH,HIGH,HIGH,4.17,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-36,-5.133,MODERATE,MODERATE,MODERATE,3.92,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-37,-1.397,HIGH,HIGH,LOW,0.25,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-38,-1.959,HIGH,MODERATE,LOW,0.56,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-39,-4.168,MODERATE,MODERATE,LOW,1.99,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-40,-5.687,MODERATE,HIGH,HIGH,4.68,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-41,-1.169,HIGH,HIGH,LOW,-0.24,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-42,-5.45,MODERATE,HIGH,HIGH,6.57,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-43,-3.924,HIGH,MODERATE,MODERATE,3.09,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-44,-3.744,HIGH,HIGH,MODERATE,3.79,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-45,-3.294,HIGH,MODERATE,LOW,1.76,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-46,-5.332,MODERATE,HIGH,HIGH,5.17,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-47,-3.361,HIGH,HIGH,LOW,2.24,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-48,-8.069,LOW,LOW,HIGH,5.65,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-49,-5.47,MODERATE,HIGH,HIGH,4.69,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-50,-1.966,HIGH,HIGH,LOW,0.86,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-51,-5.659,MODERATE,HIGH,HIGH,4.64,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
