Identifier,canonical_smiles,Activity (uM),%Potentiation,is_active,murcko_scaffold,has_active_scaffold,n_scaffold_rings
1,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,1797.0,286,1,O=C1C=CCO1,1,1.0
2,O=C1OC(C(O)CO)C(O)=C1O,1316.0,300,1,O=C1C=CCO1,1,1.0
3,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,6077.0,293,1,O=C1C=C[C@@H]([C@@H]2COCO2)O1,1,2.0
4,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,0.0,0,0,O=C1C=CC([C@@H]2COCO2)O1,0,2.0
5,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,0.0,0,0,O=C1C=C[C@@H]([C@@H]2COCO2)O1,1,2.0
6,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,0.0,0,0,O=C1C=C(OCc2ccccc2)[C@@H]([C@@H]2COCO2)O1,0,3.0
7,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,0.0,0,0,O=C1C=CC([C@H]2COCO2)O1,0,2.0
8,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,0.0,0,0,O=C1C=CC(C2COCO2)O1,0,2.0
9,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.0,0,0,O=C1C=C[C@@H]([C@H]2COCO2)O1,1,2.0
10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,0.0,0,0,O=C1C=C(OCC2CC2)[C@@H]([C@@H]2COCO2)O1,0,3.0
11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,0.0,0,0,O=C1C=C(OCCC2CCCCC2)[C@@H]([C@@H]2COCO2)O1,0,3.0
12,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.1981,150,1,O=C1C=C[C@@H]([C@H]2COCO2)O1,1,2.0
13,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,O=C1C=C[C@@H]([C@@H]2COCO2)O1,1,2.0
14,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,0.0,0,0,O=C1O[C@H]([C@@H]2COCO2)C(OCc2ccccc2)=C1OCc1ccccc1,0,4.0
15,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,0.0,0,0,O=C1C=CC(C2COCO2)O1,0,2.0
16,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,O=C1C=C[C@H]([C@@H]2COCO2)O1,0,2.0
17,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,0.0,0,0,O=C1C=C[C@@H]([C@@H]2COCO2)O1,1,2.0
18,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,1288.0,500,1,O=C1C=C(OCc2ccccc2)CO1,1,2.0
19,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,O=C1C=CCO1,1,1.0
20,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,O=C1C=CCO1,1,1.0
21,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,0.0,0,0,O=C1C=C(OCC2CC2)CO1,0,2.0
22,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,0.0,0,0,O=C1C=CCO1,1,1.0
23,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,0,0,O=C1CCCCO1,0,1.0
24,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,1202.0,190,1,O=C1C=CCO1,1,1.0
25,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,2.63,180,1,O=C1C=CCO1,1,1.0
26,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,0.0,0,0,O=C1CCCO1,0,1.0
27,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,0.0,0,0,O=C1O[C@@H]([C@@H]2COCO2)[C@H]2OCO[C@@H]12,0,3.0
28,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0,0,O=C1CCCO1,0,1.0
29,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,0.0,0,0,O=C1CCCO1,0,1.0
30,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,0.0,0,0,C1C[C@H]2OCOC2O1,0,2.0
