Identifier,canonical_smiles,Activity (uM),%Potentiation,is_active,potency_rank,pPotency,potency_category,norm_potentiation,activity_score
1,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,1797.0,286,1,6.0,-3.2545480771089736,low_potency,0.572,0.6646224893459206
2,O=C1OC(C(O)CO)C(O)=C1O,1316.0,300,1,5.0,-3.1192558892779365,low_potency,0.6,0.7284299233121314
3,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,6077.0,293,1,7.0,-3.7836892363473162,low_potency,0.586,0.17580000000001147
4,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,0.0,0,0,,,inactive,0.0,0.0
5,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,0.0,0,0,,,inactive,0.0,0.0
6,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,0.0,0,0,,,inactive,0.0,0.0
7,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,0.0,0,0,,,inactive,0.0,0.0
8,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,0.0,0,0,,,inactive,0.0,0.0
9,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.0,0,0,,,inactive,0.0,0.0
10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,0.0,0,0,,,inactive,0.0,0.0
11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,0.0,0,0,,,inactive,0.0,0.0
12,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.1981,150,1,1.0,0.703115524461453,high_potency,0.3,0.7899999999999999
13,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,,,inactive,0.0,0.0
14,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,0.0,0,0,,,inactive,0.0,0.0
15,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,0.0,0,0,,,inactive,0.0,0.0
16,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,,,inactive,0.0,0.0
17,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,0.0,0,0,,,inactive,0.0,0.0
18,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,1288.0,500,1,4.0,-3.1099158630237933,low_potency,1.0,0.8516553040835533
19,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,,,inactive,0.0,0.0
20,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,,,inactive,0.0,0.0
21,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,0.0,0,0,,,inactive,0.0,0.0
22,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,0.0,0,0,,,inactive,0.0,0.0
23,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,0,0,,,inactive,0.0,0.0
24,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,1202.0,190,1,3.0,-3.079904467666721,low_potency,0.38,0.6755618307386347
25,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,2.63,180,1,2.0,-0.41995574848975786,high_potency,0.36,0.8077198641607849
26,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,0.0,0,0,,,inactive,0.0,0.0
27,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,0.0,0,0,,,inactive,0.0,0.0
28,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0,0,,,inactive,0.0,0.0
29,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,0.0,0,0,,,inactive,0.0,0.0
30,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,0.0,0,0,,,inactive,0.0,0.0
