Identifier,Smiles,canonical_smiles,Activity (uM),%Potentiation,is_active,potency_rank,MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,FormalCharge,HeavyAtomCount,NumHeteroatoms,MolFormula,stereo_has_stereo,stereo_n_stereo_centers,stereo_n_specified,stereo_n_unspecified,stereo_n_ez_bonds,stereo_stereo_status,stereo_has_undefined_stereo,connectivity,mol,pActivity,pPotency,potency_category,norm_potentiation,activity_score,morgan_r1,morgan_r2,morgan_r3,maccs,rdkit_fp,pca_1,pca_2,pca_3,tsne_1,tsne_2,cluster
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,1797.0,286,1,6.0,176.124,-1.4074,107.22,4,6,2,1,0,0.5,0,12,6,C6H8O6,True,2,2,0,0,defined,False,O=C1OC(C(O)CO)C(O)=C1O,<rdkit.Chem.rdchem.Mol object at 0x12df47840>,2.7454519228910264,-3.2545480771089736,low_potency,0.572,0.6646224893459206,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-4.335277173409068,-4.1511137880862625,-2.202227693394269,-69.95204,-356.23135,2
2,C(O)C(C1OC(=O)C(O)=C1O)O,O=C1OC(C(O)CO)C(O)=C1O,1316.0,300,1,5.0,176.12400000000002,-1.4074,107.22,4,6,2,1,0,0.5,0,12,6,C6H8O6,True,2,0,2,0,undefined/mixed,True,O=C1OC(C(O)CO)C(O)=C1O,<rdkit.Chem.rdchem.Mol object at 0x12df478b0>,2.8807441107220635,-3.1192558892779365,low_potency,0.6,0.7284299233121314,[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],[0 1 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-4.335277173409076,-4.15111378808626,-2.2022276933942684,-69.95204,-356.23135,2
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,6077.0,293,1,7.0,216.18899999999996,0.3908999999999997,85.22000000000001,2,6,1,2,0,0.6666666666666666,0,15,6,C9H12O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2O)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47920>,2.2163107636526838,-3.7836892363473162,low_potency,0.586,0.17580000000001147,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0
 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],2.812761133230634,0.5115926018922664,-0.4346498128320087,109.13476,521.7061,1
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,0.0,0,0,,300.35100000000006,2.7314999999999996,85.22000000000001,2,6,8,2,0,0.8,0,21,6,C15H24O6,True,3,1,2,0,undefined/mixed,True,CCCCCCCCC1OCC(C2OC(=O)C(O)=C2O)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47990>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 1
 0 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],-1.0053572736234702,-3.221333374873434,-9.881725080692544,85.66555,700.1921,2
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,0.0,0,0,,230.21599999999995,0.4792999999999996,74.22000000000001,1,6,2,2,0,0.7,0,16,6,C10H14O6,True,2,2,0,0,defined,False,COC1=C(O)C(=O)OC1C1COC(C)(C)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47a00>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0 0 1 0
 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],4.2773210205572285,1.2724982563933196,0.44633748532593703,192.65805,423.07324,1
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,0.0,0,0,,306.3140000000001,2.0496999999999996,74.22000000000001,1,6,4,3,1,0.4375,0,22,6,C16H18O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2OCc2ccccc2)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47a70>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0]",[0 1 1 ... 0 1 0],5.3942001505628525,1.1387326565518179,-0.6056590782413765,206.8637,10.218089,1
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,0.0,0,0,,256.2539999999999,1.0355,74.22,1,6,4,2,0,0.5833333333333334,0,18,6,C12H16O6,True,2,1,1,0,undefined/mixed,True,C=CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47ae0>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],4.964819090661076,1.1775533383048136,0.11729060687541176,-231.33142,217.08415,1
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,0.0,0,0,,258.2699999999999,1.2594999999999998,74.22,1,6,4,2,0,0.75,0,18,6,C12H18O6,True,2,0,2,0,undefined/mixed,True,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47b50>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],4.555355446727852,1.0749322163539392,-0.8934696341783723,66.39856,312.07556,1
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.0,0,0,,272.2969999999999,1.6496,74.22,1,6,5,2,0,0.7692307692307693,0,19,6,C13H20O6,True,2,2,0,0,defined,False,CCCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47bc0>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],4.5710554610451375,0.7236360713598523,-1.741055653421599,3.149434,213.23308,1
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,0.0,0,0,,270.28099999999995,1.2594999999999994,74.22000000000001,1,6,4,3,0,0.7692307692307693,0,19,6,C13H18O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2OCC2CC2)O1,<rdkit.Chem.rdchem.Mol object at 0x12df47c30>,,,inactive,0.0,0.0,[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],[0 0 0 ... 0 0 0],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0
 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 0 1 1
 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 0]",[0 0 1 ... 0 1 0],4.6826950588479725,0.7973930600367916,-1.0172623866737456,-473.4614,40.551296,1
