Identifier,is_active,stereo_stereo_status,stereo_n_stereo_centers,stereo_n_specified,stereo_n_unspecified
1,1,defined,2,2,0
2,1,undefined/mixed,2,0,2
3,1,defined,2,2,0
4,0,undefined/mixed,3,1,2
5,0,defined,2,2,0
6,0,defined,2,2,0
7,0,undefined/mixed,2,1,1
8,0,undefined/mixed,2,0,2
9,0,defined,2,2,0
10,0,defined,2,2,0
11,0,defined,2,2,0
12,1,defined,2,2,0
13,0,defined,2,2,0
14,0,defined,2,2,0
15,0,undefined/mixed,2,0,2
16,0,defined,2,2,0
17,0,defined,2,2,0
18,1,defined,2,2,0
19,0,defined,2,2,0
20,0,defined,2,2,0
21,0,defined,2,2,0
22,0,defined,2,2,0
23,0,defined,4,4,0
24,1,defined,2,2,0
25,1,defined,2,2,0
26,0,defined,4,4,0
27,0,defined,4,4,0
28,0,defined,3,3,0
29,0,undefined/mixed,4,3,1
30,0,undefined/mixed,6,5,1
