Identifier,Smiles,Activity (uM),%Potentiation,canonical_smiles,connectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,FormalCharge,HeavyAtomCount,NumHeteroatoms,NumValenceElectrons,NumAmideBonds,MolFormula,NumStereocenters,NumUnspecifiedStereocenters,NumBonds,NumAliphaticRings,NumSaturatedRings,LabuteASA,BertzCT,stereo_has_stereo,stereo_n_stereo_centers,stereo_n_unspecified,stereo_n_specified,stereo_n_ez_bonds,stereo_has_undefined_stereo,stereo_stereo_status,is_active,potency_rank
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,1797.0,286,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,176.124,-1.4074,107.22,4,6,2,1,0,0.5,0,12,6,68,0,C6H8O6,2,0,12,1,0,67.32052975243379,232.19280948873626,True,2,0,2,0,False,defined,1,6.0
2,C(O)C(C1OC(=O)C(O)=C1O)O,1316.0,300,O=C1OC(C(O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1O,176.12400000000002,-1.4074,107.22000000000001,4,6,2,1,0,0.5,0,12,6,68,0,C6H8O6,2,2,12,1,0,67.32052975243379,232.19280948873626,True,2,2,0,0,True,undefined/mixed,1,5.0
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,6077.0,293,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,CC1(C)OCC(C2OC(=O)C(O)=C2O)O1,216.18899999999996,0.39089999999999975,85.22000000000001,2,6,1,2,0,0.6666666666666666,0,15,6,84,0,C9H12O6,2,0,16,2,1,86.0481478967161,331.494270794478,True,2,0,2,0,False,defined,1,7.0
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,0.0,0,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,CCCCCCCCC1OCC(C2OC(=O)C(O)=C2O)O1,300.35100000000006,2.7314999999999996,85.22000000000001,2,6,8,2,0,0.8,0,21,6,120,0,C15H24O6,3,2,22,2,1,124.23780058309582,391.6250809964417,True,3,2,1,0,True,undefined/mixed,0,
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,0.0,0,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,COC1=C(O)C(=O)OC1C1COC(C)(C)O1,230.21599999999995,0.4792999999999996,74.22000000000001,1,6,2,2,0,0.7,0,16,6,90,0,C10H14O6,2,0,17,2,1,92.73240148842358,345.2184172518226,True,2,0,2,0,False,defined,0,
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,0.0,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OCC(C2OC(=O)C(O)=C2OCc2ccccc2)O1,306.3140000000001,2.0496999999999996,74.22000000000001,1,6,4,3,1,0.4375,0,22,6,118,0,C16H18O6,2,0,24,2,1,127.78949569448766,591.9134112883033,True,2,0,2,0,False,defined,0,
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,0.0,0,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,C=CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,256.2539999999999,1.0355,74.22,1,6,4,2,0,0.5833333333333334,0,18,6,100,0,C12H16O6,2,1,19,2,1,104.77268268503259,397.37181603469327,True,2,1,1,0,True,undefined/mixed,0,
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,0.0,0,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,258.2699999999999,1.2594999999999998,74.22,1,6,4,2,0,0.75,0,18,6,102,0,C12H18O6,2,2,19,2,1,105.46228571721683,372.76392511682735,True,2,2,0,0,True,undefined/mixed,0,
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,0.0,0,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,CCCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,272.2969999999999,1.6496,74.22,1,6,5,2,0,0.7692307692307693,0,19,6,108,0,C13H20O6,2,0,20,2,1,111.82722783161344,386.5946804718094,True,2,0,2,0,False,defined,0,
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,0.0,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,CC1(C)OCC(C2OC(=O)C(O)=C2OCC2CC2)O1,270.28099999999995,1.2594999999999994,74.22000000000001,1,6,4,3,0,0.7692307692307693,0,19,6,106,0,C13H18O6,2,0,21,3,2,110.8213966780842,422.8493790062561,True,2,0,2,0,False,defined,0,
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,0.0,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,CC1(C)OCC(C2OC(=O)C(O)=C2OCCC2CCCCC2)O1,326.38900000000007,2.8199000000000005,74.22000000000001,1,6,5,3,0,0.8235294117647058,0,23,6,130,0,C17H26O6,2,0,25,3,2,136.28116513567065,477.47526412381086,True,2,0,2,0,False,defined,0,
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,0.1981,150,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,C#CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,254.23799999999994,0.48269999999999963,74.22,1,6,3,2,0,0.5833333333333334,0,18,6,98,0,C12H14O6,2,0,19,2,1,104.46151110907611,430.3388143873368,True,2,0,2,0,False,defined,1,1.0
