Identifier,Smiles,canonical_smiles,Activity (uM),%Potentiation,is_active,potency_rank,MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,FormalCharge,HeavyAtomCount,NumHeteroatoms,MolFormula,stereo_has_stereo,stereo_n_stereo_centers,stereo_n_specified,stereo_n_unspecified,stereo_n_ez_bonds,stereo_stereo_status,stereo_has_undefined_stereo,connectivity
1,C1([C@@H]([C@H](O)CO)OC(=O)C=1O)O,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,1797.0,286,1,6.0,176.124,-1.4074,107.22,4,6,2,1,0,0.5,0,12,6,C6H8O6,True,2,2,0,0,defined,False,O=C1OC(C(O)CO)C(O)=C1O
2,C(O)C(C1OC(=O)C(O)=C1O)O,O=C1OC(C(O)CO)C(O)=C1O,1316.0,300,1,5.0,176.12400000000002,-1.4074,107.22000000000001,4,6,2,1,0,0.5,0,12,6,C6H8O6,True,2,0,2,0,undefined/mixed,True,O=C1OC(C(O)CO)C(O)=C1O
3,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2O)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,6077.0,293,1,7.0,216.18899999999996,0.39089999999999975,85.22000000000001,2,6,1,2,0,0.6666666666666666,0,15,6,C9H12O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2O)O1
4,CCCCCCCCC1O[C@H](C2OC(=O)C(O)=C2O)CO1,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,0.0,0,0,,300.35100000000006,2.7314999999999996,85.22000000000001,2,6,8,2,0,0.8,0,21,6,C15H24O6,True,3,1,2,0,undefined/mixed,True,CCCCCCCCC1OCC(C2OC(=O)C(O)=C2O)O1
5,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OC)CO1)C,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,0.0,0,0,,230.21599999999995,0.4792999999999996,74.22000000000001,1,6,2,2,0,0.7,0,16,6,C10H14O6,True,2,2,0,0,defined,False,COC1=C(O)C(=O)OC1C1COC(C)(C)O1
6,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2C=CC=CC=2)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,0.0,0,0,,306.3140000000001,2.0496999999999996,74.22000000000001,1,6,4,3,1,0.4375,0,22,6,C16H18O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2OCc2ccccc2)O1
7,C=CCOC1C([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,0.0,0,0,,256.2539999999999,1.0355,74.22,1,6,4,2,0,0.5833333333333334,0,18,6,C12H16O6,True,2,1,1,0,undefined/mixed,True,C=CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1
8,CCCOC1C(C2OC(C)(C)OC2)OC(=O)C=1O,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,0.0,0,0,,258.2699999999999,1.2594999999999998,74.22,1,6,4,2,0,0.75,0,18,6,C12H18O6,True,2,0,2,0,undefined/mixed,True,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1
9,CCCCOC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.0,0,0,,272.2969999999999,1.6496,74.22,1,6,5,2,0,0.7692307692307693,0,19,6,C13H20O6,True,2,2,0,0,defined,False,CCCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1
10,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,0.0,0,0,,270.28099999999995,1.2594999999999994,74.22000000000001,1,6,4,3,0,0.7692307692307693,0,19,6,C13H18O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2OCC2CC2)O1
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,0.0,0,0,,326.38900000000007,2.8199000000000005,74.22000000000001,1,6,5,3,0,0.8235294117647058,0,23,6,C17H26O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(O)=C2OCCC2CCCCC2)O1
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,0.1981,150,1,1.0,254.23799999999994,0.48269999999999963,74.22,1,6,3,2,0,0.5833333333333334,0,18,6,C12H14O6,True,2,2,0,0,defined,False,C#CCOC1=C(O)C(=O)OC1C1COC(C)(C)O1
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,,244.24299999999994,0.5676999999999999,63.22000000000001,0,6,3,2,0,0.7272727272727273,0,17,6,C11H16O6,True,2,2,0,0,defined,False,COC1=C(OC)C(C2COC(C)(C)O2)OC1=O
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,0.0,0,0,,396.4390000000002,3.7085000000000026,63.22000000000001,0,6,7,4,2,0.34782608695652173,0,29,6,C23H24O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,0.0,0,0,,296.319,1.6801,63.22,0,6,7,2,0,0.5333333333333333,0,21,6,C15H20O6,True,2,0,2,0,undefined/mixed,True,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,0.0,0,0,,300.35100000000006,2.1281,63.22,0,6,7,2,0,0.8,0,21,6,C15H24O6,True,2,2,0,0,defined,False,CCCOC1=C(OCCC)C(C2COC(C)(C)O2)OC1=O
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,0.0,0,0,,294.26300000000003,0.3552599999999999,110.80000000000003,0,8,5,2,0,0.6153846153846154,0,21,8,C13H14N2O6,True,2,2,0,0,defined,False,CC1(C)OCC(C2OC(=O)C(OCC#N)=C2OCC#N)O1
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,1288.0,500,1,4.0,266.24899999999997,0.2513999999999998,96.22000000000001,3,6,5,2,1,0.3076923076923077,0,19,6,C13H14O6,True,2,2,0,0,defined,False,O=C1OC(C(O)CO)C(OCc2ccccc2)=C1O
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,,216.18899999999996,-0.7628000000000001,96.22000000000001,3,6,5,1,0,0.4444444444444444,0,15,6,C9H12O6,True,2,2,0,0,defined,False,C=CCOC1=C(O)C(=O)OC1C(O)CO
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,0.0,0,0,,232.23199999999994,-0.1487,96.22000000000001,3,6,6,1,0,0.7,0,16,6,C10H16O6,True,2,2,0,0,defined,False,CCCCOC1=C(O)C(=O)OC1C(O)CO
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,0.0,0,0,,230.21599999999995,-0.5388000000000004,96.22000000000001,3,6,5,2,0,0.7,0,16,6,C10H14O6,True,2,2,0,0,defined,False,O=C1OC(C(O)CO)C(OCC2CC2)=C1O
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,0.0,0,0,,204.17799999999997,-1.2306000000000001,85.22000000000001,2,6,4,1,0,0.625,0,14,6,C8H12O6,True,2,2,0,0,defined,False,COC1=C(OC)C(C(O)CO)OC1=O
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,0,0,,178.14000000000001,-3.0132000000000008,107.22000000000001,4,6,1,1,0,0.8333333333333334,0,12,6,C6H10O6,True,4,4,0,0,defined,False,O=C1OC(CO)C(O)C(O)C1O
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,1202.0,190,1,3.0,218.20499999999998,-0.5388,96.22000000000001,3,6,5,1,0,0.6666666666666666,0,15,6,C9H14O6,True,2,2,0,0,defined,False,CCCOC1=C(O)C(C(O)CO)OC1=O
25,C(Br)[C@H]([C@H]1OC(=O)C(O)=C1O)O,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,2.63,180,1,2.0,239.021,-0.004800000000000082,86.99000000000001,3,5,2,1,0,0.5,0,12,6,C6H7BrO5,True,2,2,0,0,defined,False,O=C1OC(C(O)CBr)C(O)=C1O
26,C(O)[C@H]([C@H]1OC(=O)[C@@H](O)[C@H]1O)O,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,0.0,0,0,,178.14000000000001,-3.0131999999999994,107.22000000000001,4,6,2,1,0,0.8333333333333334,0,12,6,C6H10O6,True,4,4,0,0,defined,False,O=C1OC(C(O)CO)C(O)C1O
27,CC1(O[C@H]([C@@H]2OC(=O)[C@@H]3OC(O[C@H]23)(C)C)CO1)C,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,0.0,0,0,,258.2699999999999,0.5833999999999993,63.22000000000001,0,6,1,3,0,0.9166666666666666,0,18,6,C12H18O6,True,4,4,0,0,defined,False,CC1(C)OCC(C2OC(=O)C3OC(C)(C)OC32)O1
28,C(O)[C@H]1OC(=O)[C@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0,0,,148.114,-2.3741000000000008,86.99000000000001,3,5,1,1,0,0.8,0,10,5,C5H8O5,True,3,3,0,0,defined,False,O=C1OC(CO)C(O)C1O
29,C([C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O)=O,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,0.0,0,0,,176.124,-2.8066,104.06,3,6,2,1,0,0.6666666666666666,0,12,6,C6H8O6,True,4,3,1,0,undefined/mixed,True,O=CC(O)C1OC(=O)C(O)C1O
30,C(O)[C@@H](O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,0.0,0,0,,309.529,-0.46289999999999937,88.38000000000001,3,6,2,2,0,1.0,0,17,9,C8H11Cl3O6,True,6,5,1,0,undefined/mixed,True,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O
