chemotype_scaffold,n_candidates,n_portfolio_groups,novel_scaffold,representative_molecule_id,mean_predicted_activity,mean_novelty,mean_uncertainty,mean_information_gain,mean_taf_score,aromatic_rings,tier,family_id,priority_rank
C1CCCCC1,3,1,1,MC-40,0.13213333333333332,0.8563333333333333,0.5,0.13213333333333332,0.08333333333333333,0,1,CHT-001,1
O=C(Br)C(O)=CBr,15,3,1,MC-44,0.22762666666666667,0.9142466666666667,0.5,0.22762666666666667,0.3,0,2,CHT-002,2
O=C1C=CCO1,12,3,0,MC-6,0.5086666666666667,0.468375,0.575,0.41239999999999993,0.4166666666666667,0,2,CHT-003,3
C1COCO1,3,2,1,MC-5,0.2804666666666667,0.6499666666666667,0.5,0.2804666666666667,0.16666666666666666,0,2,CHT-004,4
O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,3,3,1,MC-12,0.3788,0.775,0.5,0.3788,0.5,0,2,CHT-005,5
O=C1C=C(OCc2ccccc2)CO1,2,2,0,NEG-18-no_OH,0.305,0.4222,0.6,0.305,0.25,1,2,CHT-006,6
O=P(O)(O)C(O)=C(O)CC(O)CO,2,2,1,MC-1,0.3438,0.7949,0.5,0.3438,0.25,0,2,CHT-007,7
O=P(O)(O)C(O)=C(O)C[C@H](O)CO,2,2,1,MC-0,0.3438,0.7949,0.5,0.3438,0.25,0,2,CHT-008,8
c1ccccc1,2,2,1,MC-8,0.4438,0.6415,0.5,0.4438,0.25,1,2,CHT-009,9
O=C(Cl)C(O)=CCl,14,2,1,MC-22,0.21682857142857143,0.9135214285714286,0.5,0.21682857142857143,0.03571428571428571,0,3,CHT-010,10
O=C(I)C(O)=CI,14,2,1,MC-24,0.22004285714285715,0.9115642857142857,0.5,0.22004285714285715,0.03571428571428571,0,3,CHT-011,11
O=C(Cl)C(Cl)=CCl,9,2,1,MC-46,0.2071333333333333,0.9186000000000001,0.5,0.2071333333333333,0.0,0,3,CHT-012,12
O=C(I)C(I)=CI,8,2,1,MC-57,0.2113,0.9165375,0.5,0.2113,0.0,0,3,CHT-013,13
ClC(Cl)Cl,6,2,1,MC-94,0.16879999999999998,0.9411999999999999,0.5,0.16879999999999998,0.08333333333333333,0,3,CHT-014,14
O=C(Br)C(Br)=CBr,6,1,1,MC-47,0.2054666666666667,0.9030833333333333,0.5,0.2054666666666667,0.25,0,3,CHT-015,15
O=C(Br)C(O)=CO,6,2,1,MC-14,0.22546666666666668,0.9210333333333334,0.5,0.22546666666666668,0.25,0,3,CHT-016,16
O=C(Cl)C(O)=CO,6,2,1,MC-13,0.21546666666666667,0.9216666666666667,0.5,0.21546666666666667,0.08333333333333333,0,3,CHT-017,17
O=C(I)C(O)=CO,6,2,1,MC-15,0.2188,0.9216666666666667,0.5,0.2188,0.08333333333333333,0,3,CHT-018,18
O=CBr,4,1,1,MC-77,0.1963,0.8991,0.5,0.1963,0.25,0,3,CHT-019,19
O=CCl,4,1,1,MC-76,0.1888,0.8991,0.5,0.1888,0.0,0,3,CHT-020,20
O=CI,4,1,1,MC-78,0.1863,0.8991,0.5,0.1863,0.0,0,3,CHT-021,21
CCCCCCCC,3,1,1,MC-19,0.15166666666666664,0.8039,0.5,0.15166666666666664,0.08333333333333333,0,3,CHT-022,22
O=C(Br)C(Br)=CO,2,2,1,MC-80,0.2088,0.9211,0.5,0.2088,0.25,0,3,CHT-023,23
O=C(Cl)C(Cl)=CO,2,2,1,MC-79,0.1938,0.9211,0.5,0.1938,0.0,0,3,CHT-024,24
O=C(I)C(I)=CO,2,2,1,MC-81,0.1988,0.9211,0.5,0.1988,0.0,0,3,CHT-025,25
CCCOC(=C(O)C[C@H](O)CO)P(=O)(O)O,1,1,1,MC-9,0.265,0.7143,0.5,0.265,0.25,0,3,CHT-026,26
