molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked,mol,chemotype_scaffold,novel_scaffold,lipinski_violations,pains_flag,brenk_flag,druglike_lipinski,pains_clean,brenk_clean,druglike,molecule_tier,family_id
MC-4,medchem_baseline,traditional_medicinal_chemistry,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.75,0.45,0.4975,0.6279,0.6,0.3721,0.5,0.45,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,A_high_confidence_taf_preserving,,<rdkit.Chem.rdchem.Mol object at 0x1531afb568f0>,O=C1C=CCO1,0,0,0,1,1,1,0,0,2,CHT-001
NEG-1-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1O,CC[C@@H]1OC(=O)C(O)=C1O,1,0.25,0.52,0.4996,0.4242,0.4242,0.5758,0.6,0.48,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,B_taf_disrupting,,<rdkit.Chem.rdchem.Mol object at 0x1531afb57450>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
NEG-2-no_OH,negative_control,control_design,CCC1OC(=O)C(O)=C1O,CCC1OC(=O)C(O)=C1O,2,0.25,0.52,0.4996,0.4242,0.4242,0.5758,0.6,0.48,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,B_taf_disrupting,,<rdkit.Chem.rdchem.Mol object at 0x1531afb54820>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
NEG-18-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,18,0.25,0.305,0.4604,0.5778,0.5778,0.4222,0.6,0.305,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,B_taf_disrupting,,<rdkit.Chem.rdchem.Mol object at 0x1531afb56340>,O=C1C=C(OCc2ccccc2)CO1,0,0,0,0,1,1,1,1,2,CHT-006
NEG-24-no_OH,negative_control,control_design,CCCOC1=C(O)[C@H](CC)OC1=O,CCCOC1=C(O)[C@H](CC)OC1=O,24,0.25,0.35,0.477,0.5789,0.5789,0.4211,0.6,0.35,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,B_taf_disrupting,,<rdkit.Chem.rdchem.Mol object at 0x1531afb55ee0>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
NEG-25-no_OH,negative_control,control_design,O=C1O[C@@H](CCBr)C(O)=C1O,O=C1O[C@@H](CCBr)C(O)=C1O,25,0.5,0.56,0.4964,0.4706,0.4706,0.5294,0.6,0.44,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,B_taf_disrupting,,<rdkit.Chem.rdchem.Mol object at 0x1531afb54900>,O=C1C=CCO1,0,0,0,1,1,1,0,0,2,CHT-001
NEG-25-no_Br_or_alkyne,negative_control,control_design,CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,25,0.5,0.845,0.3619,0.7,0.7,0.3,0.6,0.155,IN-DOMAIN,TAF-disrupting control: no_Br_or_alkyne,untested,2026-09-15T01:45:37Z,B_taf_disrupting,,<rdkit.Chem.rdchem.Mol object at 0x1531afb56420>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
MC-10,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.375,0.4841,0.225,0.225,0.775,0.5,0.375,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,C_scaffold_transfer,,<rdkit.Chem.rdchem.Mol object at 0x1531afb574c0>,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,1,0,0,1,1,1,0,0,2,CHT-003
MC-0,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,0.25,0.34,0.4737,0.2051,0.2051,0.7949,0.5,0.34,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,D_chemically_novel,,<rdkit.Chem.rdchem.Mol object at 0x1531afb55cb0>,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,1,0,1,1,1,0,0,3,CHT-005
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.34,0.4737,0.2051,0.2051,0.7949,0.5,0.34,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,D_chemically_novel,,<rdkit.Chem.rdchem.Mol object at 0x1531afb56880>,O=P(O)(O)C(O)=C(O)CC(O)CO,1,1,0,1,1,1,0,0,3,CHT-004
