molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked
MC-6,medchem_baseline,traditional_medicinal_chemistry,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.75,0.4588,0.4974,0.6279,0.6,0.3721,0.5,0.4588,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,A_high_confidence_taf_preserving,
NEG-1-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1O,CC[C@@H]1OC(=O)C(O)=C1O,1,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,B_taf_disrupting,
NEG-2-no_OH,negative_control,control_design,CCC1OC(=O)C(O)=C1O,CCC1OC(=O)C(O)=C1O,2,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,B_taf_disrupting,
NEG-18-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,18,0.25,0.305,0.4604,0.5778,0.5778,0.4222,0.6,0.305,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,B_taf_disrupting,
NEG-24-no_OH,negative_control,control_design,CCCOC1=C(O)[C@H](CC)OC1=O,CCCOC1=C(O)[C@H](CC)OC1=O,24,0.25,0.355,0.4785,0.5789,0.5789,0.4211,0.6,0.355,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,B_taf_disrupting,
NEG-25-no_OH,negative_control,control_design,O=C1O[C@@H](CCBr)C(O)=C1O,O=C1O[C@@H](CCBr)C(O)=C1O,25,0.5,0.5638,0.495,0.4706,0.4706,0.5294,0.6,0.4362,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-09T03:57:36Z,B_taf_disrupting,
NEG-25-no_Br_or_alkyne,negative_control,control_design,CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,25,0.5,0.85,0.3571,0.7,0.7,0.3,0.6,0.15,IN-DOMAIN,TAF-disrupting control: no_Br_or_alkyne,untested,2026-09-09T03:57:36Z,B_taf_disrupting,
MC-12,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.3788,0.4842,0.225,0.225,0.775,0.5,0.3788,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,C_scaffold_transfer,
MC-44,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.C.C.C#C.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.C#C.O=C(Br)C(O)=CBr,12,0.5,0.2388,0.4253,0.075,0.0732,0.925,0.5,0.2388,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:35Z,C_scaffold_transfer,
MC-13,medchem_baseline,traditional_medicinal_chemistry,Cl.Cl.O=C(Cl)C(O)=CO,Cl.Cl.O=C(Cl)C(O)=CO,1,0.0,0.2138,0.4089,0.0811,0.0612,0.9189,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,D_chemically_novel,
