molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,hypothesis_linked,experimental_round,randomized_test_order,blinded_id,exclusion_criteria
MC-4,medchem_baseline,traditional_medicinal_chemistry,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,18,0.75,0.4588,0.4974,0.6279,0.6,0.3721,0.5,0.4588,NEAR-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,,1,8,BLIND-54343,PREDEFINED before data lock
NEG-1-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1O,CC[C@@H]1OC(=O)C(O)=C1O,1,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,,1,4,BLIND-76578,PREDEFINED before data lock
NEG-2-no_OH,negative_control,control_design,CCC1OC(=O)C(O)=C1O,CCC1OC(=O)C(O)=C1O,2,0.25,0.525,0.4994,0.4242,0.4242,0.5758,0.6,0.475,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,,1,7,BLIND-32758,PREDEFINED before data lock
MC-10,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.3788,0.4842,0.225,0.225,0.775,0.5,0.3788,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,,1,0,BLIND-92408,PREDEFINED before data lock
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,,1,1,BLIND-54585,PREDEFINED before data lock
MC-10,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.3788,0.4842,0.225,0.225,0.775,0.5,0.3788,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,,1,2,BLIND-92408,PREDEFINED before data lock
NEG-24-no_OH,negative_control,control_design,CCCOC1=C(O)[C@H](CC)OC1=O,CCCOC1=C(O)[C@H](CC)OC1=O,24,0.25,0.355,0.4785,0.5789,0.5789,0.4211,0.6,0.355,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,1,5,BLIND-92046,PREDEFINED before data lock
NEG-18-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,18,0.25,0.305,0.4604,0.5778,0.5778,0.4222,0.6,0.305,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-10T19:19:58Z,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,1,9,BLIND-96430,PREDEFINED before data lock
MC-0,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,,1,6,BLIND-55141,PREDEFINED before data lock
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-10T19:19:58Z,,1,3,BLIND-54585,PREDEFINED before data lock
