molecule_id,isomeric_SMILES,stereochemistry,parent_id,generation_mode,generation_objective,generation_model,generation_seed,experimental_parent,predicted_potency,potency_uncertainty,applicability_domain,novelty,synthetic_feasibility,cochlear_delivery,systemic_ADME,systemic_toxicity,local_cochlear_safety,selectivity,selectivity_uncertainty,information_gain,portfolio_tier,confidence,risk_flags,selection_rationale,experimental_status,created_at
REV-DE_NOVO-0,N#CC(C(=O)c1ccccc1)C(=O)c1ccc(CCBr)cc1,UNDEFINED_OR_NA,,reinvent_de_novo,DIVERSE_NOVEL_CHEMOTYPE,REINVENT4,42,,0.28,0.449,OUT_OF_DOMAIN,0.8136,FAVORABLE,SYSTEMIC IV,MODERATE,HIGH,LOW,UNKNOWN,HIGH,0.28,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_de_novo; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-DE_NOVO-85,CNC(C)(C)C1CCC(C(F)(F)F)CC1,UNDEFINED_OR_NA,,reinvent_de_novo,DIVERSE_NOVEL_CHEMOTYPE,REINVENT4,42,,0.18,0.3842,OUT_OF_DOMAIN,0.9153,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.18,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_de_novo; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-27423,Cc1nc(-c2nn(C)c(C)c2C)c(C)[nH]1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.205,0.4037,OUT_OF_DOMAIN,0.9508,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.205,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-27694,NCCNCCNCCCCCCCCCCS,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.15,0.3571,OUT_OF_DOMAIN,0.9444,FAVORABLE,SYSTEMIC ORAL,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.15,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-27547,C=C/C(C)=C/C(Cl)=C(\C)Cl,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.17,0.3756,OUT_OF_DOMAIN,0.8654,FAVORABLE,SYSTEMIC IV,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.17,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-26912,C1=CNNC=C1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.225,0.4176,OUT_OF_DOMAIN,0.9722,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.225,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-30911,Fc1cc(-c2c(F)cc(-c3c(F)c(F)c(F)c(F)c3F)cc2F)c(F)c(F)c1F,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.2,0.4,OUT_OF_DOMAIN,0.9592,FAVORABLE,EXPERIMENTAL,LOW,MODERATE,LOW,UNKNOWN,HIGH,0.2,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-DE_NOVO-1196,CCOOCC(C)OC,UNDEFINED_OR_NA,,reinvent_de_novo,DIVERSE_NOVEL_CHEMOTYPE,REINVENT4,42,,0.14,0.347,OUT_OF_DOMAIN,0.881,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.14,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_de_novo; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-9369,Clc1sc(Cl)c2c1CCNC2,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.195,0.3962,OUT_OF_DOMAIN,0.9592,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.195,Tier2_mechanistically_informative,LOW,OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier2_mechanistically_informative,untested,2026-09-15T01:50:10Z
REV-LOCAL_ANALOG-16606,OCCC1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](O)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H]1O,UNDEFINED_OR_NA,,reinvent_local_analog,ASCORBATE_SERIES_ANALOG,REINVENT4,42,,0.085,0.2789,OUT_OF_DOMAIN,0.766,MODERATE,SYSTEMIC IV,HIGH,LOW,MODERATE,UNKNOWN,HIGH,0.085,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_local_analog; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-SCAFFOLD_HOPPING-19154,O=S(=O)(F)F,UNDEFINED_OR_NA,,reinvent_scaffold_hopping,SCAFFOLD_HOP,REINVENT4,42,,0.24,0.4271,OUT_OF_DOMAIN,0.9615,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.24,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_scaffold_hopping; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-6477,CN(C[N+]1([O-])CCCCC1)CP(=O)(O)O,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.205,0.4037,OUT_OF_DOMAIN,0.8939,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.205,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-SCAFFOLD_HOPPING-23326,Nc1nc(/C=C/c2ccc3ccncc3c2)nc2sccc12,UNDEFINED_OR_NA,,reinvent_scaffold_hopping,SCAFFOLD_HOP,REINVENT4,42,,0.215,0.4108,OUT_OF_DOMAIN,0.9467,FAVORABLE,SYSTEMIC IV,MODERATE,HIGH,LOW,UNKNOWN,HIGH,0.215,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_scaffold_hopping; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-7288,[B-][N+](C)(C)C,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.145,0.3521,OUT_OF_DOMAIN,0.9394,MODERATE,SYSTEMIC ORAL,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.145,Tier2_mechanistically_informative,LOW,OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier2_mechanistically_informative,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-25884,CC1(C)OCC=CS1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.145,0.3521,OUT_OF_DOMAIN,0.8409,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.145,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-7775,N[C@@H]1CC[C@@]23C=C[C@@H]1[C@@H]2CC=C3[N+](=O)[O-],UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.145,0.3521,OUT_OF_DOMAIN,0.8889,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.145,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-LOCAL_ANALOG-17318,C#CC#CO[PH](=O)O,UNDEFINED_OR_NA,,reinvent_local_analog,ASCORBATE_SERIES_ANALOG,REINVENT4,42,,0.245,0.4301,OUT_OF_DOMAIN,0.8679,MODERATE,SYSTEMIC ORAL,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.245,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_local_analog; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
