molecule_id,generation_mode,parent_id,isomeric_SMILES,SMILES,predicted_activity,predictive_uncertainty,applicability_domain,novelty,similarity_to_train_max,similarity_to_active_max,confidence_class,information_gain_score,synthetic_accessibility_score,stereocenter_count,defined_stereocenter_count,undefined_stereocenter_count,ring_count,rotatable_bonds,stereochemical_complexity,route_status,route_note,synthetic_feasibility_class,solubility_logS_esol_proxy,solubility_class,caco_permeability_proxy,plasma_protein_binding_proxy,lipophilicity_logP,metabolic_stability_proxy,oral_absorption_proxy,evidence_level_x,reactive_alert_matches,n_reactive_alerts,pains_alert_matches,brenk_alert_matches,hERG_basic_amine_lipophilic_flag,ascorbate_redox_profile_note,systemic_toxicity_class,evidence_level_y,ototoxic_alert_matches,hair_cell_risk,mitochondrial_risk,oxidative_risk,ion_channel_risk,local_exposure,retention,local_cochlear_safety_class,evidence_level,delivery_strategy,systemic_exposure_likelihood,BLB_compatibility,RWM_compatibility,perilymph_access_likelihood,endolymph_access_likelihood,OHC_uptake_likelihood,cochlear_retention_likelihood,local_exposure_likelihood,ascorbate_SVCT_hypothesis,delivery_confidence,delivery_evidence_level,selectivity_status,selectivity_uncertainty,nAChR_subtype_evidence,alpha7_check,alpha4beta2_check,Level2_offtarget_proxy,portfolio_tier,portfolio_group,hypothesis_linked
REV-DE_NOVO-130,reinvent_de_novo,,O=C(NCC[C@H](O)c1ncc[nH]1)c1ncccc1Cl,O=C(NCC[C@H](O)c1ncc[nH]1)c1ncccc1Cl,0.385,0.4866,OUT_OF_DOMAIN,0.8358,0.1642,0.1594,LOW,0.385,3.056,1,1,0,2,5,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-2.505,HIGH,MODERATE,LOW,1.31,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-DE_NOVO-1996,reinvent_de_novo,,CN(CCO)S(=O)(=O)Cc1cccc(N)c1,CN(CCO)S(=O)(=O)Cc1cccc(N)c1,0.375,0.4841,OUT_OF_DOMAIN,0.8361,0.1639,0.1639,LOW,0.375,2.28,0,0,0,1,5,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-1.317,HIGH,HIGH,LOW,0.02,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,aniline; aromatic_amine,2,,aniline,False,False,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,aromatic_amine,MODERATE,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,HIGH,HIGH,UNKNOWN,UNKNOWN,LOW,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),EXCLUDE_OR_HOLD,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-DE_NOVO-6061,reinvent_de_novo,,Nc1nc(NCc2ccoc2)sc1NC(=O)c1ccccc1Cl,Nc1nc(NCc2ccoc2)sc1NC(=O)c1ccccc1Cl,0.365,0.4814,OUT_OF_DOMAIN,0.84,0.16,0.16,LOW,0.365,2.538,0,0,0,3,5,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.604,MODERATE,MODERATE,MODERATE,3.84,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,True,False,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),EXCLUDE_OR_HOLD,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-DE_NOVO-6079,reinvent_de_novo,,NC(=O)Nc1ccc(SCc2cccc(C(=O)Nc3ccccc3)c2)o1,NC(=O)Nc1ccc(SCc2cccc(C(=O)Nc3ccccc3)c2)o1,0.37,0.4828,OUT_OF_DOMAIN,0.7971,0.2029,0.2029,LOW,0.37,2.329,0,0,0,3,6,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.924,MODERATE,MODERATE,HIGH,4.31,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,EXPERIMENTAL,MODERATE,LOW,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-INFORMATION_GAIN-7628,reinvent_information_gain,,Nc1[nH]c2cccc(=O)c-2c(O)c1C(=O)NCc1ccco1,Nc1[nH]c2cccc(=O)c-2c(O)c1C(=O)NCc1ccco1,0.39,0.4877,OUT_OF_DOMAIN,0.831,0.169,0.169,LOW,0.39,2.773,0,0,0,3,3,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-2.815,HIGH,MODERATE,LOW,1.29,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-13245,reinvent_local_analog,,CON(C)C(=O)Cc1c(O)cccc1C(=O)NO,CON(C)C(=O)Cc1c(O)cccc1C(=O)NO,0.37,0.4828,OUT_OF_DOMAIN,0.8214,0.1786,0.1562,LOW,0.37,2.61,0,0,0,1,4,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-1.445,HIGH,MODERATE,LOW,0.07,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,Oxygen-nitrogen_single_bond; hydroxamic_acid,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-13648,reinvent_local_analog,,CC(C)(C)[C@@H](N)C(=O)OCOC(=O)[C@@H](N)CCSCCNC(=O)[C@@H](O)CCc1ccc(-c2ccccc2C(N)=O)cc1,CC(C)(C)[C@@H](N)C(=O)OCOC(=O)[C@@H](N)CCSCCNC(=O)[C@@H](O)CCc1ccc(-c2ccccc2C(N)=O)cc1,0.38,0.4854,OUT_OF_DOMAIN,0.8523,0.1477,0.1477,LOW,0.38,3.893,3,3,0,2,16,high,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-3.822,HIGH,LOW,LOW,1.73,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,Aliphatic_long_chain; het-C-het_not_in_ring,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,LOW,LOW,UNKNOWN,UNKNOWN,MODERATE,LOW,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-16208,reinvent_local_analog,,O=C(O)CCS/C(=C/c1cccc(Cl)c1O)NC(=O)c1ccccc1,O=C(O)CCS/C(=C/c1cccc(Cl)c1O)NC(=O)c1ccccc1,0.38,0.4854,OUT_OF_DOMAIN,0.8261,0.1739,0.1739,LOW,0.38,2.627,0,0,0,2,7,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.584,MODERATE,HIGH,MODERATE,3.98,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-17057,reinvent_local_analog,,OC[C@H](NC(=S)Nc1nc(C(F)F)cc(C(F)(F)F)n1)c1ccccc1,OC[C@H](NC(=S)Nc1nc(C(F)F)cc(C(F)(F)F)n1)c1ccccc1,0.375,0.4841,OUT_OF_DOMAIN,0.831,0.169,0.169,LOW,0.375,3.123,1,1,0,2,5,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.46,MODERATE,HIGH,MODERATE,3.45,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,Thiocarbonyl_group,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-17336,reinvent_local_analog,,C#C[C@@H](O)C#CC(=O)NS(=O)(=O)c1ccccc1,C#C[C@@H](O)C#CC(=O)NS(=O)(=O)c1ccccc1,0.385,0.4866,OUT_OF_DOMAIN,0.8361,0.1639,0.1639,LOW,0.385,3.433,1,1,0,1,2,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-1.265,HIGH,HIGH,LOW,-0.51,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,amide_of_sulfonyl,1,,triple_bond,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
