molecule_id,detected_reaction_classes,synthetic_feasibility,priority_verdict
REV-INFORMATION_GAIN-9369,N-ALKYLATION; STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-7288,STEREOCENTER_PRESENT,MODERATE,B_SYNTHESIZE_IF_CAPACITY
REV-INFORMATION_GAIN-7233,ACETAL_FORMATION; AMIDE_COUPLING; ESTERIFICATION; HYDROLYSIS_ESTER; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,MODERATE,B_SYNTHESIZE_IF_CAPACITY
REV-INFORMATION_GAIN-9763,STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-12222,FRIEDEL_CRAFTS_ACYLATION; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-8365,STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-7489,STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-8270,STEREOCENTER_PRESENT,MODERATE,B_SYNTHESIZE_IF_CAPACITY
REV-INFORMATION_GAIN-8727,STEREOCENTER_PRESENT,MODERATE,B_SYNTHESIZE_IF_CAPACITY
REV-INFORMATION_GAIN-11135,STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-10130,AMIDE_COUPLING; N-ALKYLATION; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-10605,N-ALKYLATION; STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-6609,N-ALKYLATION; STEREOCENTER_PRESENT,MODERATE,B_SYNTHESIZE_IF_CAPACITY
REV-INFORMATION_GAIN-8661,AMIDE_COUPLING; N-ALKYLATION; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-11797,O-ALKYLATION; STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-11944,STEREOCENTER_PRESENT,FAVORABLE,A_SYNTHESIZE
REV-INFORMATION_GAIN-6940,STEREOCENTER_PRESENT,MODERATE,B_SYNTHESIZE_IF_CAPACITY
