molecule_id,isomeric_SMILES,portfolio_tier,predicted_potency,potency_uncertainty,synthetic_feasibility,confidence,stereochemistry,detected_reaction_classes,reaction_class_candidates,retrosynthetic_precursors,route_rankings,synthetic_feasibility_score,ascorbate_vulnerability,priority_verdict,confidence_class,provenance
REV-INFORMATION_GAIN-9369,Clc1sc(Cl)c2c1CCNC2,Tier2_mechanistically_informative,0.195,0.3962,FAVORABLE,LOW,none-detected,N-ALKYLATION; STEREOCENTER_PRESENT,"[{""reaction_class"": ""N-ALKYLATION"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.9}, {""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""N-ALKYLATION"", ""precursor_class"": ""secondary amine + alkyl halide"", ""source"": ""structure-derived""}, {""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""N-ALKYLATION"", ""composite_score"": 0.72, ""reaction_feasibility"": 0.9, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}, {""route"": ""Route 2"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.48, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.8, ""note"": ""alternative disconnection""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-7288,[B-][N+](C)(C)C,Tier2_mechanistically_informative,0.145,0.3521,MODERATE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.36, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.6, ""note"": ""dominant transformation""}]",0.6,NONE_detected,B_SYNTHESIZE_IF_CAPACITY,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-7233,C/C=C/C=C/C(=O)N1C(=O)O[C@H]2O[C@H](C)O[C@@H](C)[C@@H]21,Tier2_mechanistically_informative,0.2,0.4,MODERATE,LOW,PRESERVED-required,ACETAL_FORMATION; AMIDE_COUPLING; ESTERIFICATION; HYDROLYSIS_ESTER; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,"[{""reaction_class"": ""ACETAL_FORMATION"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.78}, {""reaction_class"": ""AMIDE_COUPLING"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.95}, {""reaction_class"": ""ESTERIFICATION"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.93}, {""reaction_class"": ""HYDROLYSIS_ESTER"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.9}, {""reaction_class"": ""REDUCTION_CARBONYL"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.85}, {""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.6}, {""reaction_class"": ""WITTIG_OLEFINATION"", ""evidence_level"": ""CLASS-PRECEDENT-stereo_aware"", ""score"": 0.68}]","[{""transformation"": ""ACETAL_FORMATION"", ""precursor_class"": ""carbonyl + diol"", ""source"": ""structure-derived""}, {""transformation"": ""AMIDE_COUPLING"", ""precursor_class"": ""amine + activated carboxylic acid"", ""source"": ""structure-derived""}, {""transformation"": ""ESTERIFICATION"", ""precursor_class"": ""alcohol + carboxylic acid/halide"", ""source"": ""structure-derived""}, {""transformation"": ""HYDROLYSIS_ESTER"", ""precursor_class"": ""ester + water"", ""source"": ""structure-derived""}, {""transformation"": ""REDUCTION_CARBONYL"", ""precursor_class"": ""carbonyl + hydride source"", ""source"": ""structure-derived""}, {""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}, {""transformation"": ""WITTIG_OLEFINATION"", ""precursor_class"": ""carbonyl + phosphonium ylide"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""AMIDE_COUPLING"", ""composite_score"": 0.57, ""reaction_feasibility"": 0.95, ""portfolio_feasibility"": 0.6, ""note"": ""dominant transformation""}, {""route"": ""Route 2"", ""lead_transformation"": ""ESTERIFICATION"", ""composite_score"": 0.558, ""reaction_feasibility"": 0.93, ""portfolio_feasibility"": 0.6, ""note"": ""alternative disconnection""}, {""route"": ""Route 3"", ""lead_transformation"": ""HYDROLYSIS_ESTER"", ""composite_score"": 0.54, ""reaction_feasibility"": 0.9, ""portfolio_feasibility"": 0.6, ""note"": ""alternative disconnection""}]",0.6,NONE_detected,B_SYNTHESIZE_IF_CAPACITY,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-9763,BrC(Br)=C(Br)Br,Tier2_mechanistically_informative,0.22,0.4142,FAVORABLE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.48, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-12222,CSCCCn1ccc(C=O)c1,Tier2_mechanistically_informative,0.195,0.3962,FAVORABLE,LOW,none-detected,FRIEDEL_CRAFTS_ACYLATION; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,"[{""reaction_class"": ""FRIEDEL_CRAFTS_ACYLATION"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.72}, {""reaction_class"": ""REDUCTION_CARBONYL"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.85}, {""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}, {""reaction_class"": ""WITTIG_OLEFINATION"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.68}]","[{""transformation"": ""FRIEDEL_CRAFTS_ACYLATION"", ""precursor_class"": ""arene + acyl halide"", ""source"": ""structure-derived""}, {""transformation"": ""REDUCTION_CARBONYL"", ""precursor_class"": ""carbonyl + hydride source"", ""source"": ""structure-derived""}, {""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}, {""transformation"": ""WITTIG_OLEFINATION"", ""precursor_class"": ""carbonyl + phosphonium ylide"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""REDUCTION_CARBONYL"", ""composite_score"": 0.68, ""reaction_feasibility"": 0.85, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}, {""route"": ""Route 2"", ""lead_transformation"": ""FRIEDEL_CRAFTS_ACYLATION"", ""composite_score"": 0.576, ""reaction_feasibility"": 0.72, ""portfolio_feasibility"": 0.8, ""note"": ""alternative disconnection""}, {""route"": ""Route 3"", ""lead_transformation"": ""WITTIG_OLEFINATION"", ""composite_score"": 0.544, ""reaction_feasibility"": 0.68, ""portfolio_feasibility"": 0.8, ""note"": ""alternative disconnection""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-8365,N=C(N)SCC1CCOCC1,Tier2_mechanistically_informative,0.13,0.3363,FAVORABLE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.48, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-7489,NC1(Cc2c(Br)ccc3[nH]ccc23)CC1,Tier2_mechanistically_informative,0.195,0.3962,FAVORABLE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.48, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-8270,C=N/C=N/C1C=CC=CC1,Tier2_mechanistically_informative,0.265,0.4413,MODERATE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.36, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.6, ""note"": ""dominant transformation""}]",0.6,NONE_detected,B_SYNTHESIZE_IF_CAPACITY,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-8727,CCC(F)=C(F)I,Tier2_mechanistically_informative,0.2,0.4,MODERATE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.36, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.6, ""note"": ""dominant transformation""}]",0.6,NONE_detected,B_SYNTHESIZE_IF_CAPACITY,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-11135,Cc1cc2[nH]cc(/C=C(/C#N)c3csc(C)[n+]3C)c2cc1C,Tier2_mechanistically_informative,0.185,0.3883,FAVORABLE,LOW,none-detected,STEREOCENTER_PRESENT,"[{""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.48, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-10130,CCNC(=O)Nc1nc(=O)n(CC)c2c1nc(CP(=O)(OCC)OCC)n2C,Tier2_mechanistically_informative,0.19,0.3923,FAVORABLE,LOW,none-detected,AMIDE_COUPLING; N-ALKYLATION; REDUCTION_CARBONYL; STEREOCENTER_PRESENT; WITTIG_OLEFINATION,"[{""reaction_class"": ""AMIDE_COUPLING"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.95}, {""reaction_class"": ""N-ALKYLATION"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.9}, {""reaction_class"": ""REDUCTION_CARBONYL"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.85}, {""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}, {""reaction_class"": ""WITTIG_OLEFINATION"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.68}]","[{""transformation"": ""AMIDE_COUPLING"", ""precursor_class"": ""amine + activated carboxylic acid"", ""source"": ""structure-derived""}, {""transformation"": ""N-ALKYLATION"", ""precursor_class"": ""secondary amine + alkyl halide"", ""source"": ""structure-derived""}, {""transformation"": ""REDUCTION_CARBONYL"", ""precursor_class"": ""carbonyl + hydride source"", ""source"": ""structure-derived""}, {""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}, {""transformation"": ""WITTIG_OLEFINATION"", ""precursor_class"": ""carbonyl + phosphonium ylide"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""AMIDE_COUPLING"", ""composite_score"": 0.76, ""reaction_feasibility"": 0.95, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}, {""route"": ""Route 2"", ""lead_transformation"": ""N-ALKYLATION"", ""composite_score"": 0.72, ""reaction_feasibility"": 0.9, ""portfolio_feasibility"": 0.8, ""note"": ""alternative disconnection""}, {""route"": ""Route 3"", ""lead_transformation"": ""REDUCTION_CARBONYL"", ""composite_score"": 0.68, ""reaction_feasibility"": 0.85, ""portfolio_feasibility"": 0.8, ""note"": ""alternative disconnection""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
REV-INFORMATION_GAIN-10605,c1cnc(C2NCCc3[nH]cnc32)cn1,Tier2_mechanistically_informative,0.215,0.4108,FAVORABLE,LOW,none-detected,N-ALKYLATION; STEREOCENTER_PRESENT,"[{""reaction_class"": ""N-ALKYLATION"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.9}, {""reaction_class"": ""STEREOCENTER_PRESENT"", ""evidence_level"": ""CLASS-PRECEDENT"", ""score"": 0.6}]","[{""transformation"": ""N-ALKYLATION"", ""precursor_class"": ""secondary amine + alkyl halide"", ""source"": ""structure-derived""}, {""transformation"": ""STEREOCENTER_PRESENT"", ""precursor_class"": ""FGH-fragment"", ""source"": ""structure-derived""}]","[{""route"": ""Route 1"", ""lead_transformation"": ""N-ALKYLATION"", ""composite_score"": 0.72, ""reaction_feasibility"": 0.9, ""portfolio_feasibility"": 0.8, ""note"": ""dominant transformation""}, {""route"": ""Route 2"", ""lead_transformation"": ""STEREOCENTER_PRESENT"", ""composite_score"": 0.48, ""reaction_feasibility"": 0.6, ""portfolio_feasibility"": 0.8, ""note"": ""alternative disconnection""}]",0.8,NONE_detected,A_SYNTHESIZE,UNKNOWN,structure-derived; no invented yields
