id_a,id_b,smiles_a,smiles_b,core,frag_a,frag_b,transformation,transformation_class,is_active_a,is_active_b,activity_a_uM,activity_b_uM,potentiation_a_pct,potentiation_b_pct,activity_change
1,3,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,*[C@H]1OC(=O)C(O)=C1O,*[C@H](O)CO,*[C@@H]1COC(C)(C)O1,*[C@H](O)CO -> *[C@@H]1COC(C)(C)O1,alkyl_chain_extension,1,1,1797.0,6077.0,286.0,293.0,decreased_potency
1,25,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,*[C@H]1OC(=O)C(O)=C1O,*[C@H](O)CO,*[C@H](O)CBr,*[C@H](O)CO -> *[C@H](O)CBr,other,1,1,1797.0,2.63,286.0,180.0,increased_potency
3,25,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,*[C@H]1OC(=O)C(O)=C1O,*[C@@H]1COC(C)(C)O1,*[C@H](O)CBr,*[C@@H]1COC(C)(C)O1 -> *[C@H](O)CBr,alkyl_chain_extension,1,1,6077.0,2.63,293.0,180.0,increased_potency
1,25,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,*[C@@H](O)[C@H]1OC(=O)C(O)=C1O,*CO,*CBr,*CO -> *CBr,other,1,1,1797.0,2.63,286.0,180.0,increased_potency
1,25,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,*C[C@@H](O)[C@H]1OC(=O)C(O)=C1O,*O,*Br,*O -> *Br,other,1,1,1797.0,2.63,286.0,180.0,increased_potency
1,18,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*O,*OCc1ccccc1,*O -> *OCc1ccccc1,aromatic_substitution,1,1,1797.0,1288.0,286.0,500.0,no_change
1,19,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*O,*OCC=C,*O -> *OCC=C,alkyl_chain_extension,1,0,1797.0,0.0,286.0,0.0,lost_activity
1,20,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*O,*OCCCC,*O -> *OCCCC,other,1,0,1797.0,0.0,286.0,0.0,lost_activity
1,21,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*O,*OCC1CC1,*O -> *OCC1CC1,other,1,0,1797.0,0.0,286.0,0.0,lost_activity
18,19,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OCc1ccccc1,*OCC=C,*OCc1ccccc1 -> *OCC=C,aromatic_substitution,1,0,1288.0,0.0,500.0,0.0,lost_activity
18,20,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OCc1ccccc1,*OCCCC,*OCc1ccccc1 -> *OCCCC,alkyl_chain_extension,1,0,1288.0,0.0,500.0,0.0,lost_activity
18,21,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OCc1ccccc1,*OCC1CC1,*OCc1ccccc1 -> *OCC1CC1,alkyl_chain_extension,1,0,1288.0,0.0,500.0,0.0,lost_activity
19,20,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OCC=C,*OCCCC,*OCC=C -> *OCCCC,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
19,21,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OCC=C,*OCC1CC1,*OCC=C -> *OCC1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
20,21,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,*C1=C(O)C(=O)O[C@@H]1[C@H](O)CO,*OCCCC,*OCC1CC1,*OCCCC -> *OCC1CC1,other,0,0,0.0,0.0,0.0,0.0,no_change
1,24,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,*C1=C(O)[C@@H]([C@H](O)CO)OC1=O,*O,*OCCC,*O -> *OCCC,alkyl_chain_extension,1,1,1797.0,1202.0,286.0,190.0,no_change
3,5,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*O,*OC,*O -> *OC,alkyl_chain_extension,1,0,6077.0,0.0,293.0,0.0,lost_activity
3,6,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*O,*OCc1ccccc1,*O -> *OCc1ccccc1,aromatic_substitution,1,0,6077.0,0.0,293.0,0.0,lost_activity
3,10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*C1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*O,*OCC1CC1,*O -> *OCC1CC1,other,1,0,6077.0,0.0,293.0,0.0,lost_activity
