ascorbate_core,subseries,n,active,active_fraction,potency_uM_min,potency_uM_max,member_ids
1,2-O-alkoxy,1,1,1.0,1202.0,1202.0,[24]
1,"5,6-O-isopropylidene acetonide, free enediol",1,1,1.0,6077.0,6077.0,[3]
1,6-O-benzyl-type ether,1,1,1.0,1288.0,1288.0,[18]
1,6-bromo-6-deoxy,1,1,1.0,2.6,2.6,[25]
1,free ascorbate,3,2,0.667,0.0,1797.0,"[1, 2, 4]"
1,"5,6-O-isopropylidene acetonide, 3-O-alkoxy",8,1,0.125,0.0,0.2,"[5, 6, 7, 8, 9, 10, 11, 12]"
1,"2,3-bis-O-alkoxy",1,0,0.0,0.0,0.0,[22]
1,3-O-alkoxy,3,0,0.0,0.0,0.0,"[19, 20, 21]"
1,"5,6-O-isopropylidene acetonide, 2,3-bis-O-alkoxy",5,0,0.0,0.0,0.0,"[13, 14, 15, 16, 17]"
0,non_ascorbate,6,0,0.0,0.0,0.0,"[23, 26, 27, 28, 29, 30]"
