Feature,SMARTS,Active,Active_tot,Active_%,Inactive,Inactive_tot,Inactive_%,Enrichment,Fisher_p
Nitrogen,[#7],0,7,0.0,1,23,4.3,0.0,1.0
Bromine,[Br],1,7,14.3,0,23,0.0,1428571428.571,0.2333
Alkyne,C#C,1,7,14.3,0,23,0.0,1428571428.571,0.2333
Benzyl,c1ccccc1C,1,7,14.3,2,23,8.7,1.643,1.0
Acetal,[OR0][CR0][OR0],0,7,0.0,0,23,0.0,0.0,1.0
Lactone,"C(=O)O[C,C]",7,7,100.0,22,23,95.7,1.045,1.0
Hydroxyl,[CX4][OH],5,7,71.4,9,23,39.1,1.825,0.204
Ether,[C!H0]O[C!H0],0,7,0.0,2,23,8.7,0.0,1.0
CarboxylicEster,C(=O)O,7,7,100.0,22,23,95.7,1.045,1.0
Chlorine,[Cl],0,7,0.0,1,23,4.3,0.0,1.0
Dioxolane,C1OCCO1,2,7,28.6,15,23,65.2,0.438,0.1897
Enol,C=C(O),7,7,100.0,17,23,73.9,1.353,0.2901
DefinedStereo,[C@H],7,7,100.0,23,23,100.0,1.0,1.0
SmallAlkyl,CCC,7,7,100.0,23,23,100.0,1.0,1.0
Nitrile,C#N,0,7,0.0,1,23,4.3,0.0,1.0
AliphaticRing,[C]1[C][C][C]1,0,7,0.0,0,23,0.0,0.0,1.0
