scaffold,feature,SMARTS,n_compounds,n_active,active_frac_feature,inactive_frac_feature,fisher_p
O=C1C=CC(C2COCO2)O1,Nitrogen,[#7],2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Bromine,[Br],2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Alkyne,C#C,2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Benzyl,c1ccccc1C,2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Acetal,[OR0][CR0][OR0],2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Lactone,"C(=O)O[C,C]",2,0,,100.0,1.0
O=C1C=CC(C2COCO2)O1,Hydroxyl,[CX4][OH],2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Ether,[C!H0]O[C!H0],2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,CarboxylicEster,C(=O)O,2,0,,100.0,1.0
O=C1C=CC(C2COCO2)O1,Chlorine,[Cl],2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,Dioxolane,C1OCCO1,2,0,,100.0,1.0
O=C1C=CC(C2COCO2)O1,Enol,C=C(O),2,0,,100.0,1.0
O=C1C=CC(C2COCO2)O1,DefinedStereo,[C@H],2,0,,100.0,1.0
O=C1C=CC(C2COCO2)O1,SmallAlkyl,CCC,2,0,,100.0,1.0
O=C1C=CC(C2COCO2)O1,Nitrile,C#N,2,0,,0.0,1.0
O=C1C=CC(C2COCO2)O1,AliphaticRing,[C]1[C][C][C]1,2,0,,0.0,1.0
O=C1C=CCO1,Nitrogen,[#7],7,4,0.0,0.0,1.0
O=C1C=CCO1,Bromine,[Br],7,4,25.0,0.0,1.0
O=C1C=CCO1,Alkyne,C#C,7,4,0.0,0.0,1.0
O=C1C=CCO1,Benzyl,c1ccccc1C,7,4,0.0,0.0,1.0
O=C1C=CCO1,Acetal,[OR0][CR0][OR0],7,4,0.0,0.0,1.0
O=C1C=CCO1,Lactone,"C(=O)O[C,C]",7,4,100.0,100.0,1.0
O=C1C=CCO1,Hydroxyl,[CX4][OH],7,4,100.0,100.0,1.0
O=C1C=CCO1,Ether,[C!H0]O[C!H0],7,4,0.0,0.0,1.0
O=C1C=CCO1,CarboxylicEster,C(=O)O,7,4,100.0,100.0,1.0
O=C1C=CCO1,Chlorine,[Cl],7,4,0.0,0.0,1.0
O=C1C=CCO1,Dioxolane,C1OCCO1,7,4,0.0,0.0,1.0
O=C1C=CCO1,Enol,C=C(O),7,4,100.0,100.0,1.0
O=C1C=CCO1,DefinedStereo,[C@H],7,4,100.0,100.0,1.0
O=C1C=CCO1,SmallAlkyl,CCC,7,4,100.0,100.0,1.0
O=C1C=CCO1,Nitrile,C#N,7,4,0.0,0.0,1.0
O=C1C=CCO1,AliphaticRing,[C]1[C][C][C]1,7,4,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Nitrogen,[#7],4,1,0.0,33.3,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Bromine,[Br],4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Alkyne,C#C,4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Benzyl,c1ccccc1C,4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Acetal,[OR0][CR0][OR0],4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Lactone,"C(=O)O[C,C]",4,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Hydroxyl,[CX4][OH],4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Ether,[C!H0]O[C!H0],4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,CarboxylicEster,C(=O)O,4,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Chlorine,[Cl],4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Dioxolane,C1OCCO1,4,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Enol,C=C(O),4,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,DefinedStereo,[C@H],4,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,SmallAlkyl,CCC,4,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,Nitrile,C#N,4,1,0.0,33.3,1.0
O=C1C=C[C@@H]([C@@H]2COCO2)O1,AliphaticRing,[C]1[C][C][C]1,4,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Nitrogen,[#7],2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Bromine,[Br],2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Alkyne,C#C,2,1,100.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Benzyl,c1ccccc1C,2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Acetal,[OR0][CR0][OR0],2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Lactone,"C(=O)O[C,C]",2,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Hydroxyl,[CX4][OH],2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Ether,[C!H0]O[C!H0],2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,CarboxylicEster,C(=O)O,2,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Chlorine,[Cl],2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Dioxolane,C1OCCO1,2,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Enol,C=C(O),2,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,DefinedStereo,[C@H],2,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,SmallAlkyl,CCC,2,1,100.0,100.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,Nitrile,C#N,2,1,0.0,0.0,1.0
O=C1C=C[C@@H]([C@H]2COCO2)O1,AliphaticRing,[C]1[C][C][C]1,2,1,0.0,0.0,1.0
O=C1CCCO1,Nitrogen,[#7],3,0,,0.0,1.0
O=C1CCCO1,Bromine,[Br],3,0,,0.0,1.0
O=C1CCCO1,Alkyne,C#C,3,0,,0.0,1.0
O=C1CCCO1,Benzyl,c1ccccc1C,3,0,,0.0,1.0
O=C1CCCO1,Acetal,[OR0][CR0][OR0],3,0,,0.0,1.0
O=C1CCCO1,Lactone,"C(=O)O[C,C]",3,0,,100.0,1.0
O=C1CCCO1,Hydroxyl,[CX4][OH],3,0,,100.0,1.0
O=C1CCCO1,Ether,[C!H0]O[C!H0],3,0,,0.0,1.0
O=C1CCCO1,CarboxylicEster,C(=O)O,3,0,,100.0,1.0
O=C1CCCO1,Chlorine,[Cl],3,0,,0.0,1.0
O=C1CCCO1,Dioxolane,C1OCCO1,3,0,,0.0,1.0
O=C1CCCO1,Enol,C=C(O),3,0,,0.0,1.0
O=C1CCCO1,DefinedStereo,[C@H],3,0,,100.0,1.0
O=C1CCCO1,SmallAlkyl,CCC,3,0,,100.0,1.0
O=C1CCCO1,Nitrile,C#N,3,0,,0.0,1.0
O=C1CCCO1,AliphaticRing,[C]1[C][C][C]1,3,0,,0.0,1.0
