scaffold,count,n_active,active_ids
O=C1C=CCO1,7,4,"['1', '2', '24', '25']"
O=C1C=C[C@@H]([C@@H]2COCO2)O1,4,1,['3']
O=C1CCCO1,3,0,[]
O=C1C=C[C@@H]([C@H]2COCO2)O1,2,1,['12']
O=C1C=CC(C2COCO2)O1,2,0,[]
C1C[C@H]2OCOC2O1,1,0,[]
O=C1C=C(OCC2CC2)CO1,1,0,[]
O=C1C=C(OCCC2CCCCC2)[C@@H]([C@@H]2COCO2)O1,1,0,[]
O=C1C=C(OCC2CC2)[C@@H]([C@@H]2COCO2)O1,1,0,[]
O=C1C=CC([C@H]2COCO2)O1,1,0,[]
O=C1C=CC([C@@H]2COCO2)O1,1,0,[]
O=C1C=C(OCc2ccccc2)[C@@H]([C@@H]2COCO2)O1,1,0,[]
O=C1C=C(OCc2ccccc2)CO1,1,1,['18']
O=C1C=C[C@H]([C@@H]2COCO2)O1,1,0,[]
O=C1CCCCO1,1,0,[]
O=C1O[C@@H]([C@@H]2COCO2)[C@H]2OCO[C@@H]12,1,0,[]
O=C1O[C@H]([C@@H]2COCO2)C(OCc2ccccc2)=C1OCc1ccccc1,1,0,[]
