Identifier,is_active,isomeric_SMILES,stereo_n_stereo_centers,stereo_n_specified,stereo_n_unspecified,stereo_stereo_status,stereocenter_identity
1,1,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,2,2,0,defined,"3(C),4(C)"
2,1,O=C1OC(C(O)CO)C(O)=C1O,2,0,2,undefined/mixed,"3(C),4(C)"
3,1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,2,2,0,defined,"5(C),6(C)"
4,0,CCCCCCCCC1OC[C@@H](C2OC(=O)C(O)=C2O)O1,3,1,2,undefined/mixed,"8(C),11(C),12(C)"
5,0,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,2,2,0,defined,"8(C),9(C)"
6,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,2,2,0,defined,"5(C),6(C)"
7,0,C=CCOC1=C(O)C(=O)OC1[C@H]1COC(C)(C)O1,2,1,1,undefined/mixed,"10(C),11(C)"
8,0,CCCOC1=C(O)C(=O)OC1C1COC(C)(C)O1,2,0,2,undefined/mixed,"10(C),11(C)"
9,0,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,2,2,0,defined,"11(C),12(C)"
10,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,2,2,0,defined,"5(C),6(C)"
11,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,2,2,0,defined,"5(C),6(C)"
12,1,C#CCOC1=C(O)C(=O)O[C@@H]1[C@H]1COC(C)(C)O1,2,2,0,defined,"10(C),11(C)"
13,0,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,2,2,0,defined,"6(C),7(C)"
14,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,2,2,0,defined,"5(C),6(C)"
15,0,C=CCOC1=C(OCC=C)C(C2COC(C)(C)O2)OC1=O,2,0,2,undefined/mixed,"10(C),11(C)"
16,0,CCCOC1=C(OCCC)[C@H]([C@@H]2COC(C)(C)O2)OC1=O,2,2,0,defined,"10(C),11(C)"
17,0,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)O1,2,2,0,defined,"5(C),6(C)"
18,1,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,2,2,0,defined,"3(C),4(C)"
19,0,C=CCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,2,2,0,defined,"10(C),11(C)"
20,0,CCCCOC1=C(O)C(=O)O[C@@H]1[C@H](O)CO,2,2,0,defined,"11(C),12(C)"
21,0,O=C1O[C@H]([C@H](O)CO)C(OCC2CC2)=C1O,2,2,0,defined,"3(C),4(C)"
22,0,COC1=C(OC)[C@@H]([C@H](O)CO)OC1=O,2,2,0,defined,"6(C),7(C)"
23,0,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,4,4,0,defined,"3(C),6(C),8(C),10(C)"
24,1,CCCOC1=C(O)[C@@H]([C@H](O)CO)OC1=O,2,2,0,defined,"7(C),8(C)"
25,1,O=C1O[C@H]([C@H](O)CBr)C(O)=C1O,2,2,0,defined,"3(C),4(C)"
26,0,O=C1O[C@H]([C@H](O)CO)[C@H](O)[C@@H]1O,4,4,0,defined,"3(C),4(C),8(C),10(C)"
27,0,CC1(C)OC[C@@H]([C@@H]2OC(=O)[C@@H]3OC(C)(C)O[C@H]23)O1,4,4,0,defined,"5(C),6(C),10(C),16(C)"
28,0,O=C1O[C@H](CO)[C@@H](O)[C@H]1O,3,3,0,defined,"3(C),6(C),8(C)"
29,0,O=C[C@@H](O)C1OC(=O)[C@@H](O)[C@H]1O,4,3,1,undefined/mixed,"2(C),4(C),8(C),10(C)"
30,0,OC[C@@H](O)[C@H]1OC2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O,6,5,1,undefined/mixed,"2(C),4(C),6(C),8(C),14(C),15(C)"
