molecule_id,selectivity_status,selectivity_uncertainty,nAChR_subtype_evidence,alpha7_check,alpha4beta2_check,Level2_offtarget_proxy,note
REV-DE_NOVO-0,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-1,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-2,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-3,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-4,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-5,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-6,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-7,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-8,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-9,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-10,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-11,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-12,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-13,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-14,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-15,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-16,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-17,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-18,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-19,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-20,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-21,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-22,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-23,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-24,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-25,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-26,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-27,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
REV-DE_NOVO-28,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Experimental subtype selectivity (α9α10 vs α7 vs α4β2) has not been measured for these compounds. A candidate cannot be called selective without such data - priority is set aside for future electrophysiology.
