panel_id,file_name,source_label,source_file,SMILES,canonical_SMILES,is_parseable,murcko_scaffold,is_natural_product,subtype_note,stereo_status,n_stereo_centers,n_undefined_stereo,MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,HeavyAtomCount,NumHeteroatoms,FractionCSP3,n_heavy_atoms,lipinski_violations,pains_flag,brenk_flag,qc_flag,n_sources_merged
NS-9283.mol,NS-9283.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,N#Cc1cccc(-c2nc(-c3cccnc3)no2)c1,N#Cc1cccc(-c2nc(-c3cccnc3)no2)c1,1,c1ccc(-c2nc(-c3cccnc3)no2)cc1,0,"alpha4beta2 PAM (3-(1,2,4-oxadiazolyl)-pyridine series)",no_stereo,0,0,248.245,2.670280000000001,75.6,0,5,2,3,3,19,5,0.0,19,0,0,0,pass,1
NS-206.mol,NS-206.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,O=Nc1c(O)[nH]c2c3c(c(S(=O)(=O)NOCc4ccccc4)cc12)CCCC3,O=Nc1c(O)[nH]c2c3c(c(S(=O)(=O)NOCc4ccccc4)cc12)CCCC3,1,O=S(=O)(NOCc1ccccc1)c1cc2cc[nH]c2c2c1CCCC2,0,alpha7 PAM (benzoxanthin/quinoxalinone NS series),no_stereo,0,0,401.4440000000002,3.5603000000000025,120.84999999999998,3,6,6,4,3,28,9,0.2631578947368421,28,0,0,1,pass,1
HEPES.mol,HEPES.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,O=S(=O)(O)CCN1CCN(CCO)CC1,O=S(=O)(O)CCN1CCN(CCO)CC1,1,C1CNCCN1,0,buffer/filter artifact (4-(2-hydroxyethyl)piperazine in assay),no_stereo,0,0,238.30899999999994,-1.5158999999999976,81.08000000000001,2,5,5,1,0,15,7,1.0,15,0,0,1,pass,1
Compound9.mol,Compound9.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,CN(Cc1cc(-c2ccccc2Cl)no1)C(=O)C1CCNCC1,CN(Cc1cc(-c2ccccc2Cl)no1)C(=O)C1CCNCC1,1,O=C(NCc1cc(-c2ccccc2)no1)C1CCNCC1,0,isoxazole-piperazine PAM series (a7-type),no_stereo,0,0,333.81900000000013,2.953000000000001,58.370000000000005,1,4,4,3,2,23,6,0.4117647058823529,23,0,0,0,pass,1
CMPI.mol,CMPI.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,Cc1c(-c2cc(-c3ccccc3Cl)no2)cnn1C1CCNCC1,Cc1c(-c2cc(-c3ccccc3Cl)no2)cnn1C1CCNCC1,1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,0,isoxazole-pyrazole CMPI PAM series (a7-type),no_stereo,0,0,342.83000000000015,4.091420000000002,55.88,1,5,3,4,3,24,6,0.3333333333333333,24,0,0,0,pass,1
2a.mol,2a.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,Clc1ccccc1-c1cc(-c2cnn(C3CCNCC3)c2)on1,Clc1ccccc1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,0,isoxazole-piperazine PAM series (a7-type),no_stereo,0,0,328.80300000000005,3.783000000000002,55.88,1,5,3,4,3,23,6,0.29411764705882354,23,0,0,0,pass,1
2c.mol,2c.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,0,isoxazole-piperazine PAM series (a7-type),no_stereo,0,0,294.35799999999995,3.129600000000001,55.88,1,5,3,4,3,22,5,0.29411764705882354,22,0,0,0,pass,1
2d.mol,2d.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,Cc1c(-c2cc(-c3ccccc3)no2)cnn1C1CCNCC1,Cc1c(-c2cc(-c3ccccc3)no2)cnn1C1CCNCC1,1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,0,isoxazole-piperazine PAM series (a7-type),no_stereo,0,0,308.3850000000001,3.4380200000000016,55.88,1,5,3,4,3,23,5,0.3333333333333333,23,0,0,0,pass,1
2e.mol,2e.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,Fc1cccc(Cl)c1-c1cc(-c2cnn(C3CCNCC3)c2)on1,Fc1cccc(Cl)c1-c1cc(-c2cnn(C3CCNCC3)c2)on1,1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,0,isoxazole-piperazine PAM series (a7-type),no_stereo,0,0,346.7930000000001,3.922100000000002,55.88,1,5,3,4,3,24,7,0.29411764705882354,24,0,0,0,pass,1
2f.mol,2f.mol,1.0,/Users/nb/Documents/ligand-based-modeling/otherModulators.csv,Cc1c(-c2cc(-c3c(F)cccc3Cl)no2)cnn1C1CCNCC1,Cc1c(-c2cc(-c3c(F)cccc3Cl)no2)cnn1C1CCNCC1,1,c1ccc(-c2cc(-c3cnn(C4CCNCC4)c3)on2)cc1,0,isoxazole-piperazine PAM series (a7-type),no_stereo,0,0,360.82000000000016,4.230520000000004,55.88,1,5,3,4,3,25,7,0.3333333333333333,25,0,0,0,pass,1
