building_block,n_targets,in_stock,stock_names
BrCc1ccccc1,11,IN_STOCK,zinc
CC(=O)O,5,IN_STOCK,zinc
O=C1CCC(=O)N1Br,4,IN_STOCK,zinc
COCCl,4,IN_STOCK,zinc
C#CCBr,3,IN_STOCK,zinc
O=C1O[C@H]([C@H](O)CO)C(O)=C1O,3,IN_STOCK,zinc
CC(=O)OC(C)=O,3,IN_STOCK,zinc
ClCc1ccccc1,3,IN_STOCK,zinc
N#CC(Cl)(Cl)Cl,3,IN_STOCK,zinc
OCc1ccccc1,3,IN_STOCK,zinc
O=S(Cl)Cl,2,IN_STOCK,zinc
CCCO,2,IN_STOCK,zinc
C=CCC,2,IN_STOCK,zinc
C=C[C@@H]1OC(=O)C(O)=C1O,2,NOT_IN_STOCK,
COc1ccc(CCl)cc1,1,IN_STOCK,zinc
C=C[C@H](O)C(O)=C(O)C(=O)OCC,1,NOT_IN_STOCK,
CC[C@H](O)C(O)=C(O[Si](C)(C)C(C)(C)C)C(=O)OC,1,NOT_IN_STOCK,
CC[C@@H]1OC(=O)C(O[Si](C)(C)C(C)(C)C)=C1O,1,NOT_IN_STOCK,
C=CC(O)C(O)=C(O)C(=O)OCC,1,NOT_IN_STOCK,
CCC(O)C(O)=C(O[Si](C)(C)C(C)(C)C)C(=O)OC,1,NOT_IN_STOCK,
CCC1OC(=O)C(O)=C1OCc1ccccc1,1,NOT_IN_STOCK,
COS(=O)(=O)OC,1,IN_STOCK,zinc
CC(C)(C)[Si](OC(=C(O)C[C@H](O)CO)P(=O)(O)O)(c1ccccc1)c1ccccc1,1,NOT_IN_STOCK,
CCOP(=O)(O)C(O)=C(O)C[C@H](O)CO,1,NOT_IN_STOCK,
COC(C)(C)OC,1,IN_STOCK,zinc
CC1(C)OC[C@H](CC(O)=C(O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)P(=O)(O)O)O1,1,NOT_IN_STOCK,
CC(C)(C)[Si](OCC(O)CC(O)=C(O)P(=O)(O)O)(c1ccccc1)c1ccccc1,1,NOT_IN_STOCK,
CCOP(=O)(OCC)C(O)=C(O)CC(O)CO,1,NOT_IN_STOCK,
CCOP(=O)(OCC)C(O)=C(O)CC(O)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,1,NOT_IN_STOCK,
CC[C@H](O)C(O)=C(O)C(=O)O,1,NOT_IN_STOCK,
CCCBr,1,IN_STOCK,zinc
CC[C@@H]1OC(=O)C(O)=C1O,1,NOT_IN_STOCK,
ClCc1ccccc1Br,1,IN_STOCK,zinc
CCOC(=O)C(O)=C(O)[C@@H](O)CC,1,NOT_IN_STOCK,
CC(C)(C)[Si](C)(C)OC1=C(O)[C@H](CC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)OC1=O,1,NOT_IN_STOCK,
CC(C)(C)[Si](C)(C)OC[C@H](CC(O)=C(O)P(=O)(O)O)O[Si](C)(C)C(C)(C)C,1,NOT_IN_STOCK,
COP(=O)(OC)C(O)=C(O)C[C@@H](CO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C,1,NOT_IN_STOCK,
CC(C)(C)[Si](OC[C@@H](O)CC(O)=C(O)P(=O)(O)O)(c1ccccc1)c1ccccc1,1,NOT_IN_STOCK,
